bloqueo,entropia,msi,bfr,rutas,pathconsec,entropiauso,porcuso,shf
0,0.047619,0.190476,0.0,1,350.323993,0.0,6.76E-4,6.72E-4
0,0.142857,0.285714,0.0,2,349.871384,0.0,0.001218,0.001211
0,0.190476,0.619048,0.0,3,349.153409,0.0,0.0023,0.002281
0,0.190476,0.714286,0.0,4,348.885718,0.0,0.00257,0.002547
0,0.238095,0.714286,0.0,5,348.840393,0.0,0.002706,0.002682
0,0.285714,1.0,0.0,6,347.896694,0.0,0.003653,0.00362
0,0.333333,1.142857,0.0,7,347.355114,0.0,0.004194,0.004158
0,0.333333,1.52381,0.0,8,346.299845,0.0,0.005276,0.005205
0,0.571429,2.0,0.0,9,344.401601,0.0,0.007305,0.007226
0,0.571429,2.380952,0.0,10,343.504132,0.0,0.008387,0.008296
0,0.571429,2.761905,0.0,11,343.146178,0.0,0.00947,0.009363
0,0.761905,3.52381,0.001633,12,338.834065,0.0,0.010281,0.011767
0,0.761905,3.619048,0.001633,13,338.564824,0.0,0.010552,0.012035
0,0.857143,4.285714,0.001911,14,329.776085,0.0,0.012175,0.015276
0,0.952381,4.47619,0.001233,15,329.325413,0.0,0.013528,0.01674
0,1.047619,5.47619,0.002474,16,312.542291,0.0,0.015152,0.023956
0,1.142857,6.952381,0.003474,17,309.72992,0.0,0.018398,0.031647
0,1.142857,7.428571,0.003501,18,309.025719,0.0,0.019751,0.032899
0,1.238095,8.47619,0.005162,19,296.247826,0.012645,0.021104,0.041249
0,1.285714,8.619048,0.005162,20,295.886773,0.013105,0.021645,0.041787
0,1.47619,9.952381,0.007092,21,275.379767,0.055423,0.023674,0.048492
0,1.571429,10.142857,0.006551,22,272.313113,0.067224,0.024756,0.049817
0,1.666667,10.428571,0.005878,23,263.514301,0.117548,0.02638,0.047778
0,1.761905,12.571429,0.009765,24,258.548651,0.131003,0.028815,0.053622
0,1.857143,12.714286,0.009385,25,257.088832,0.13478,0.029627,0.055397
0,1.857143,13.047619,0.009391,26,256.796412,0.13478,0.030574,0.056261
0,1.952381,13.714286,0.009391,27,255.719449,0.149505,0.032738,0.058401
0,2.047619,14.857143,0.008837,28,242.523976,0.197729,0.036526,0.060178
0,2.142857,15.428571,0.008063,29,241.172343,0.227092,0.038961,0.063654
0,2.238095,16.285714,0.009715,30,232.914337,0.234108,0.039773,0.071493
0,2.333333,17.238095,0.011798,30,224.644192,0.223641,0.040449,0.080529
0,2.333333,17.619048,0.011815,31,224.411754,0.236241,0.041531,0.081554
0,2.52381,18.904762,0.013114,32,216.079594,0.303334,0.043966,0.090068
0,2.619048,19.714286,0.014668,33,210.743786,0.375806,0.044778,0.09737
0,2.52381,19.952381,0.013995,34,215.034785,0.417682,0.046131,0.09515
0,2.52381,20.047619,0.013996,35,215.034785,0.417682,0.046402,0.095408
0,2.52381,20.333333,0.013996,36,214.303767,0.443526,0.047213,0.09613
0,2.619048,21.190476,0.014884,37,211.362264,0.502639,0.048837,0.101661
0,2.714286,22.047619,0.015829,38,204.165209,0.558613,0.05046,0.107146
0,2.904762,24.0,0.020048,39,202.216458,0.646656,0.052083,0.123926
0,3.047619,25.904762,0.024551,39,193.56226,0.745561,0.053301,0.12344
0,3.142857,28.095238,0.028985,40,182.067425,0.795502,0.055465,0.13887
0,3.333333,28.428571,0.027919,41,174.665835,0.85839,0.057495,0.138532
0,3.428571,28.47619,0.02765,42,171.926122,0.862657,0.0579,0.14415
